index,is_fraud
31604,0.01614734619145257
30526,9.325619899142654e-06
30246,0.355934549277928
30566,0.00037368115104057144
30106,1.511018978933873e-05
30802,9.405331437930156e-10
31417,2.0302691926850107e-08
31007,0.0006151577347830458
30564,0.9556991583170734
31650,1.2682291394819429e-05
31241,0.4008886944123531
31127,0.008400038610447079
31080,0.00094277140783392
30139,4.827473239569329e-05
31832,0.011388069289600447
30531,0.004468287787332547
31480,5.0309977174238424e-06
30097,0.009652940317913326
31759,0.0007955711937435122
30438,4.671044399980504e-06
30353,0.0004961007519414492
31949,3.3433526766137285e-05
30089,1.7640371101773396e-05
31774,0.007655240797729499
30345,2.18111423808629e-05
30527,8.086668517146261e-05
30964,2.2377663183567045e-05
31052,1.5103227446918456e-05
31672,2.3430632082491128e-08
30805,1.898996123293964e-05
31677,7.085414449935873e-07
30979,0.002381744425915706
30850,0.0012227225431861864
31814,0.014534323495751763
30216,0.0007481391227010557
31389,0.0041356744879285446
30328,0.00038873345306908056
30082,0.004711180454777006
30035,1.830585652788429e-05
30833,0.0061073799702847185
30976,4.6285062649537645e-05
30949,0.07219991126050239
31990,9.13250307370709e-06
31005,0.04553775371380585
30406,0.004489546571828749
30357,3.032877036123768e-07
31602,2.9482290458630106e-05
31149,0.3038067124651231
30881,0.018368613882397137
31969,6.147177007515596e-06
30287,0.0005563802242225359
30783,0.0019197432611132708
31612,4.7131434303389386e-06
31517,1.0833963813331764e-06
31770,0.00011191285882220904
30002,0.00039503974244392
30576,0.016939391005109588
31928,1.4412355344016592e-05
30658,0.012259172301571251
31335,0.002782643451263533
31466,0.36478093560979125
30901,0.003365550793543041
30226,0.0013032221195350814
30060,0.00026478296626545873
31115,4.2292403656125637e-10
31402,2.8993863181125824e-06
31703,0.05408808117869906
31429,8.580732460411824e-08
31292,0.03627911316767181
31089,0.00020339811080311086
31380,3.5298613362517914e-05
31744,2.2122691432001348e-05
30387,1.8033791617172119e-06
31206,0.0026460711131831567
31433,4.0880399975581344e-07
30961,2.272572533625649e-05
30694,0.014256081660992846
31106,0.004739754225996812
31282,0.0033357669358924356
31064,0.007061380355739196
31926,0.006661011399716014
30422,9.319152842987311e-05
30650,0.0028298231769133234
30240,8.935497077623007e-05
31613,0.24754659674574894
30255,0.45569709399127467
31567,0.011050758289429424
30558,2.923476144530928e-05
31426,0.0003770807555484393
31687,0.0013828353232688152
31039,5.12052574004809e-08
30709,1.7738117088687741e-06
31804,0.023740302864500688
30715,0.02280094498112193
30117,0.2533692916850744
30640,0.003654143047475595
30642,0.007143040098807275
31985,0.0008013574924343779
30553,0.00032556877291806385
30286,1.514835239982996e-05
30314,0.017923517538355277
30245,8.863770149027574e-06
31944,0.00048271888234471735
31680,5.763656209207641e-07
30932,0.0010424231552396762
30363,0.00010117476812787134
30472,0.0004841986168153037
30420,0.004998206370351678
31931,8.21392855670443e-05
31032,0.0024690093444334053
31565,4.408444359832367e-05
31917,0.0002023902635741394
31658,9.186647371094062e-05
30342,7.436361152499814e-06
30371,0.0001756407494082778
31441,0.00010730617366148908
30283,0.0018841764259707467
30809,7.304021270597933e-06
31231,0.0004905555530868338
30927,0.0014483406141636047
30418,0.0001026001054523449
30143,0.029670489812642753
31595,5.651740086473516e-07
30512,2.218847375137276e-05
31968,1.4762591188558152e-05
31400,3.824133779961741e-06
30552,1.4397445993439117e-06
30280,4.27189769584902e-07
30785,0.0003144105184490194
30612,0.0018267599804523587
31603,0.0053513124508321516
30125,0.0005081148628015279
31351,0.0005096734226965136
30938,0.0008977083573357301
