index,is_fraud
31604,0.01
30526,0.01
30246,0.09
30566,0.18
30106,0.02
30802,0.04
31417,0.07
31007,0.07
30564,0.17
31650,0.07
31241,0.11
31127,0.09
31080,0.01
30139,0.07
31832,0.14
30531,0.05
31480,0.04
30097,0.06
31759,0.05
30438,0.02
30353,0.21
31949,0.08
30089,0.05
31774,0.08
30345,0.03
30527,0.01
30964,0.1
31052,0.06
31672,0.04
30805,0.09
31677,0.07
30979,0.08
30850,0.0
31814,0.03
30216,0.05
31389,0.04
30328,0.04
30082,0.07
30035,0.22
30833,0.03
30976,0.09
30949,0.01
31990,0.02
31005,0.09
30406,0.02
30357,0.03
31602,0.13
31149,0.13
30881,0.26
31969,0.0
30287,0.23
30783,0.16
31612,0.03
31517,0.05
31770,0.03
30002,0.03
30576,0.06
31928,0.1
30658,0.03
31335,0.01
31466,0.1
30901,0.16
30226,0.06
30060,0.03
31115,0.03
31402,0.37
31703,0.05
31429,0.14
31292,0.18
31089,0.02
31380,0.01
31744,0.02
30387,0.04
31206,0.04
31433,0.15
30961,0.05
30694,0.02
31106,0.2
31282,0.2
31064,0.02
31926,0.08
30422,0.0
30650,0.08
30240,0.02
31613,0.05
30255,0.21
31567,0.08
30558,0.06
31426,0.03
31687,0.03
31039,0.01
30709,0.19
31804,0.01
30715,0.04
30117,0.01
30640,0.03
30642,0.07
31985,0.02
30553,0.07
30286,0.03
30314,0.05
30245,0.01
31944,0.24
31680,0.03
30932,0.04
30363,0.05
30472,0.05
30420,0.02
31931,0.07
31032,0.12
31565,0.27
31917,0.2
31658,0.06
30342,0.06
30371,0.02
31441,0.02
30283,0.19
30809,0.04
31231,0.02
30927,0.03
30418,0.03
30143,0.01
31595,0.06
30512,0.01
31968,0.13
31400,0.0
30552,0.0
30280,0.15
30785,0.25
30612,0.0
31603,0.1
30125,0.01
31351,0.08
30938,0.14
30977,0.03
31994,0.16
30099,0.19
31294,0.02
30908,0.07
31313,0.05
30224,0.01
30674,0.03
30786,0.08
30874,0.16
30485,0.1
31177,0.07
30542,0.28
31775,0.16
31140,0.13
31952,0.25
31855,0.33
30381,0.0
30736,0.1
31675,0.02
30131,0.07
30385,0.01
31369,0.04
31554,0.0
31162,0.03
30813,0.09
30917,0.05
30258,0.02
31818,0.17
30885,0.02
30398,0.35
30190,0.31
30703,0.02
31806,0.28
31074,0.19
31720,0.03
31730,0.14
30889,0.01
31508,0.01
31244,0.02
31474,0.04
30887,0.01
31993,0.04
30790,0.21
30499,0.02
31789,0.1
31192,0.03
31086,0.25
30391,0.01
30325,0.04
31854,0.07
31465,0.03
30997,0.05
31134,0.03
30426,0.05
31407,0.1
31045,0.03
30265,0.29
30519,0.03
31451,0.02
30804,0.02
30839,0.06
30847,0.02
31443,0.03
31580,0.13
31154,0.06
31214,0.03
31287,0.01
31589,0.07
30523,0.13
30730,0.03
30854,0.04
30054,0.07
30936,0.21
31447,0.28
31163,0.0
30397,0.13
31079,0.03
30475,0.09
30269,0.02
30130,0.12
30266,0.05
30726,0.04
30801,0.08
30206,0.13
30479,0.02
31877,0.1
30951,0.04
31796,0.02
30456,0.02
31498,0.01
31625,0.27
31679,0.11
31325,0.02
31509,0.06
31463,0.26
30191,0.19
31446,0.0
30857,0.06
31246,0.26
30627,0.31
31271,0.06
31859,0.06
31763,0.13
30062,0.0
30604,0.12
31300,0.01
31041,0.05
30215,0.05
30704,0.04
31499,0.18
31754,0.01
31118,0.04
30588,0.1
31427,0.06
31411,0.07
31152,0.06
30931,0.02
30446,0.18
31337,0.05
30882,0.03
31983,0.1
30689,0.07
30835,0.02
30251,0.02
31938,0.06
31834,0.04
30899,0.14
30380,0.01
30756,0.07
31299,0.01
30491,0.07
30614,0.06
30382,0.04
30396,0.09
31017,0.1
31588,0.28
30782,0.05
31093,0.06
30871,0.08
31751,0.02
30494,0.05
31516,0.06
30027,0.01
31542,0.01
31925,0.2
30395,0.06
31694,0.07
30293,0.13
31747,0.01
31100,0.05
30306,0.06
31555,0.03
30825,0.17
30235,0.17
30308,0.03
30751,0.19
31974,0.06
31695,0.02
30356,0.17
31122,0.1
31038,0.05
31861,0.0
31290,0.27
30188,0.1
30098,0.03
31409,0.06
30003,0.06
30288,0.0
31828,0.02
31756,0.24
31047,0.11
31174,0.0
31021,0.09
30393,0.02
30651,0.25
30826,0.08
31668,0.16
30695,0.28
30149,0.13
30852,0.2
31785,0.1
31702,0.03
30864,0.17
30140,0.14
30520,0.0
31109,0.11
30619,0.1
31767,0.16
31252,0.05
31272,0.01
31726,0.04
31945,0.09
31013,0.06
31616,0.09
31971,0.01
30800,0.38
31346,0.18
31273,0.0
30563,0.01
31525,0.09
31055,0.03
31239,0.07
31425,0.01
31367,0.21
30677,0.24
30092,0.17
31936,0.01
31505,0.0
30590,0.04
31583,0.05
30346,0.03
31663,0.04
31096,0.02
30626,0.02
30253,0.02
30943,0.02
30659,0.01
31315,0.15
30668,0.03
30221,0.11
30502,0.16
30592,0.06
30795,0.02
30984,0.1
30682,0.04
30275,0.05
30676,0.02
30602,0.02
30016,0.12
30309,0.02
30967,0.01
30445,0.03
31240,0.03
30263,0.1
31610,0.03
30501,0.01
31094,0.06
31792,0.08
31450,0.19
30182,0.03
31408,0.04
31919,0.04
31037,0.0
30030,0.26
30912,0.1
30295,0.01
31342,0.37
31998,0.01
30495,0.08
31067,0.09
30613,0.02
30687,0.02
30664,0.25
30672,0.18
31895,0.04
30886,0.01
31401,0.11
31458,0.12
30699,0.01
30742,0.05
31544,0.21
31161,0.43
31611,0.04
31842,0.03
30034,0.04
31179,0.29
31088,0.29
30041,0.11
31736,0.24
31742,0.14
30412,0.06
30184,0.24
31527,0.01
30073,0.06
30222,0.07
31541,0.02
31056,0.0
31892,0.3
31278,0.07
31825,0.05
31660,0.02
30453,0.06
30807,0.04
31188,0.0
30974,0.03
31009,0.06
30028,0.05
30044,0.01
31980,0.13
31902,0.04
30264,0.07
30405,0.1
31116,0.05
31144,0.23
31323,0.05
30017,0.25
31907,0.38
30680,0.02
31874,0.05
31784,0.25
31251,0.26
31921,0.07
30160,0.01
31461,0.07
31965,0.01
31878,0.06
31836,0.11
30829,0.01
31385,0.03
30679,0.08
30111,0.06
30770,0.09
30618,0.05
31824,0.04
31482,0.25
30596,0.2
31761,0.14
30450,0.01
31820,0.0
31004,0.01
30869,0.03
31967,0.12
30169,0.07
31524,0.01
31077,0.02
30047,0.07
31639,0.08
31823,0.08
30317,0.08
31307,0.03
31270,0.05
31846,0.01
30654,0.05
30200,0.16
31442,0.14
30458,0.11
31434,0.16
31711,0.0
31973,0.01
31718,0.26
31656,0.23
30042,0.03
30471,0.02
31384,0.08
30366,0.13
31477,0.03
31960,0.18
30440,0.04
30204,0.03
30609,0.0
31526,0.0
31124,0.02
31395,0.01
31674,0.0
31962,0.02
30928,0.05
30168,0.05
30417,0.07
31566,0.02
30152,0.05
30903,0.05
30400,0.15
30423,0.03
31137,0.17
31571,0.01
30625,0.04
30933,0.03
30419,0.06
30181,0.27
30165,0.09
31129,0.09
30448,0.02
30740,0.03
31034,0.0
31986,0.17
30998,0.24
30311,0.03
30823,0.04
31530,0.02
30424,0.25
31186,0.02
30461,0.04
31551,0.07
30004,0.0
30539,0.06
31191,0.1
30324,0.03
30019,0.03
30675,0.02
31254,0.04
31050,0.09
30437,0.11
30573,0.02
30591,0.04
31528,0.05
31312,0.04
30554,0.01
30712,0.11
30571,0.03
31204,0.0
31216,0.2
31904,0.02
30781,0.03
30865,0.05
31585,0.03
31181,0.05
31713,0.09
31946,0.03
30146,0.04
31810,0.05
30369,0.0
30601,0.21
30290,0.11
31059,0.0
31912,0.05
31935,0.01
31298,0.04
30647,0.07
30569,0.05
31276,0.11
30541,0.09
31698,0.16
30451,0.13
30403,0.29
30714,0.06
31002,0.03
31397,0.0
31798,0.03
30635,0.04
30096,0.03
30892,0.05
30955,0.02
30775,0.06
30185,0.09
31286,0.06
31196,0.27
31961,0.01
30543,0.03
31296,0.14
31090,0.01
31779,0.01
31822,0.05
31879,0.05
31396,0.17
30572,0.02
31293,0.18
31141,0.0
30462,0.04
31598,0.27
30469,0.28
30723,0.15
30135,0.18
31324,0.0
30755,0.07
31869,0.11
30844,0.0
31506,0.05
30068,0.09
31511,0.0
30109,0.01
31471,0.06
31914,0.01
31257,0.01
30599,0.05
31558,0.13
31850,0.04
31136,0.01
30827,0.08
31078,0.08
30995,0.02
31851,0.21
30792,0.05
30970,0.01
31406,0.05
31274,0.02
30085,0.11
30464,0.01
31840,0.02
31689,0.04
30372,0.02
31537,0.02
31208,0.0
31647,0.02
30433,0.04
30427,0.03
30761,0.06
31470,0.33
30994,0.03
31570,0.08
30443,0.0
30297,0.23
31941,0.12
31899,0.08
30646,0.12
31486,0.05
31646,0.2
30666,0.05
30153,0.04
30071,0.2
30559,0.18
31030,0.06
30546,0.03
30007,0.11
30052,0.13
30937,0.03
30362,0.22
30962,0.06
31905,0.03
31618,0.03
31768,0.17
30980,0.18
31379,0.09
